CountyName,RegionName,City,Metro
Alameda,94501,Alameda,San Francisco
Alameda,94502,Alameda,San Francisco
Alameda,94536,Fremont,San Francisco
Alameda,94538,Fremont,San Francisco
Alameda,94539,Fremont,San Francisco
Alameda,94541,Hayward,San Francisco
Alameda,94542,Hayward,San Francisco
Alameda,94544,Hayward,San Francisco
Alameda,94545,Hayward,San Francisco
Alameda,94546,Castro Valley,San Francisco
Alameda,94550,Livermore,San Francisco
Alameda,94551,Livermore,San Francisco
Alameda,94552,Castro Valley,San Francisco
Alameda,94555,Fremont,San Francisco
Alameda,94560,Newark,San Francisco
Alameda,94566,Pleasanton,San Francisco
Alameda,94568,Dublin,San Francisco
Alameda,94577,San Leandro,San Francisco
Alameda,94578,San Leandro,San Francisco
Alameda,94579,San Leandro,San Francisco
Alameda,94580,San Lorenzo,San Francisco
Alameda,94587,Union City,San Francisco
Alameda,94588,Pleasanton,San Francisco
Alameda,94601,Oakland,San Francisco
Alameda,94602,Oakland,San Francisco
Alameda,94605,Oakland,San Francisco
Alameda,94606,Oakland,San Francisco
Alameda,94608,Oakland,San Francisco
Alameda,94609,Oakland,San Francisco
Alameda,94610,Oakland,San Francisco
Alameda,94611,Oakland,San Francisco
Alameda,94618,Oakland,San Francisco
Alameda,94619,Oakland,San Francisco
Alameda,94621,Oakland,San Francisco
Alameda,94702,Berkeley,San Francisco
Alameda,94703,Berkeley,San Francisco
Alameda,94704,Berkeley,San Francisco
Alameda,94705,Berkeley,San Francisco
Alameda,94706,Albany,San Francisco
Alameda,94707,Berkeley,San Francisco
Alameda,94708,Berkeley,San Francisco
Alameda,94709,Berkeley,San Francisco
Alameda,94710,Berkeley,San Francisco
Contra Costa,94505,Discovery Bay,San Francisco
Contra Costa,94506,Danville,San Francisco
Contra Costa,94507,Alamo,San Francisco
Contra Costa,94509,Antioch,San Francisco
Contra Costa,94513,Brentwood,San Francisco
Contra Costa,94517,Clayton,San Francisco
Contra Costa,94518,Concord,San Francisco
Contra Costa,94520,Concord,San Francisco
Contra Costa,94521,Concord,San Francisco
Contra Costa,94523,Pleasant Hill,San Francisco
Contra Costa,94525,Crockett,San Francisco
Contra Costa,94526,Danville,San Francisco
Contra Costa,94530,El Cerrito,San Francisco
Contra Costa,94531,Antioch,San Francisco
Contra Costa,94547,Hercules,San Francisco
Contra Costa,94549,Lafayette,San Francisco
Contra Costa,94553,Martinez,San Francisco
Contra Costa,94556,Moraga,San Francisco
Contra Costa,94561,Oakley,San Francisco
Contra Costa,94563,Orinda,San Francisco
Contra Costa,94564,Pinole,San Francisco
Contra Costa,94565,Pittsburg,San Francisco
Contra Costa,94572,Rodeo,San Francisco
Contra Costa,94582,San Ramon,San Francisco
Contra Costa,94583,San Ramon,San Francisco
Contra Costa,94595,Walnut Creek,San Francisco
Contra Costa,94596,Walnut Creek,San Francisco
Contra Costa,94597,Walnut Creek,San Francisco
Contra Costa,94598,Walnut Creek,San Francisco
Contra Costa,94801,Richmond,San Francisco
Contra Costa,94803,El Sobrante,San Francisco
Contra Costa,94804,Richmond,San Francisco
Contra Costa,94805,Richmond,San Francisco
Marin,94901,San Rafael,San Francisco
Marin,94903,San Rafael,San Francisco
Marin,94904,Kentfield,San Francisco
Marin,94920,Tiburon,San Francisco
Marin,94925,Corte Madera,San Francisco
Marin,94930,Fairfax,San Francisco
Marin,94939,Larkspur,San Francisco
Marin,94941,Mill Valley,San Francisco
Marin,94945,Novato,San Francisco
Marin,94947,Novato,San Francisco
Marin,94949,Novato,San Francisco
Marin,94957,Ross,San Francisco
Marin,94960,San Anselmo,San Francisco
Marin,94965,Sausalito,San Francisco
Marin,94970,Stinson Beach,San Francisco
Marin,94973,Woodacre,San Francisco
Napa,94503,American Canyon,Napa
Napa,94508,Angwin,Napa
Napa,94515,Calistoga,Napa
Napa,94558,Napa,Napa
Napa,94559,Napa,Napa
Napa,94574,Saint Helena,Napa
Napa,94599,Yountville,Napa
San Francisco,94103,San Francisco,San Francisco
San Francisco,94107,San Francisco,San Francisco
San Francisco,94109,San Francisco,San Francisco
San Francisco,94110,San Francisco,San Francisco
San Francisco,94112,San Francisco,San Francisco
San Francisco,94114,San Francisco,San Francisco
San Francisco,94115,San Francisco,San Francisco
San Francisco,94116,San Francisco,San Francisco
San Francisco,94117,San Francisco,San Francisco
San Francisco,94118,San Francisco,San Francisco
San Francisco,94121,San Francisco,San Francisco
San Francisco,94122,San Francisco,San Francisco
San Francisco,94123,San Francisco,San Francisco
San Francisco,94124,San Francisco,San Francisco
San Francisco,94127,San Francisco,San Francisco
San Francisco,94131,San Francisco,San Francisco
San Francisco,94132,San Francisco,San Francisco
San Francisco,94133,San Francisco,San Francisco
San Francisco,94134,San Francisco,San Francisco
San Mateo,94002,Belmont,San Francisco
San Mateo,94005,Brisbane,San Francisco
San Mateo,94010,Burlingame,San Francisco
San Mateo,94014,Daly City,San Francisco
San Mateo,94015,Daly City,San Francisco
San Mateo,94019,Half Moon Bay,San Francisco
San Mateo,94020,La Honda,San Francisco
San Mateo,94025,Menlo Park,San Francisco
San Mateo,94027,Atherton,San Francisco
San Mateo,94028,Portola Valley,San Francisco
San Mateo,94030,Millbrae,San Francisco
San Mateo,94037,Montara,San Francisco
San Mateo,94038,Moss Beach,San Francisco
San Mateo,94044,Pacifica,San Francisco
San Mateo,94061,Redwood City,San Francisco
San Mateo,94062,Redwood City,San Francisco
San Mateo,94063,Redwood City,San Francisco
San Mateo,94065,Redwood City,San Francisco
San Mateo,94066,San Bruno,San Francisco
San Mateo,94070,San Carlos,San Francisco
San Mateo,94080,South San Francisco,San Francisco
San Mateo,94401,San Mateo,San Francisco
San Mateo,94402,San Mateo,San Francisco
San Mateo,94403,San Mateo,San Francisco
San Mateo,94404,Foster City,San Francisco
Santa Clara,94022,Los Altos,San Jose
Santa Clara,94024,Los Altos,San Jose
Santa Clara,94040,Mountain View,San Jose
Santa Clara,94041,Mountain View,San Jose
Santa Clara,94043,Mountain View,San Jose
Santa Clara,94086,Sunnyvale,San Jose
Santa Clara,94087,Sunnyvale,San Jose
Santa Clara,94089,Sunnyvale,San Jose
Santa Clara,94301,Palo Alto,San Jose
Santa Clara,94303,Palo Alto,San Jose
Santa Clara,94305,Stanford,San Jose
Santa Clara,94306,Palo Alto,San Jose
Santa Clara,95008,Campbell,San Jose
Santa Clara,95014,Cupertino,San Jose
